Species,Count,Location,Observation type,Observation date,Start Time,Duration,Distance,Area,Elevation,Party Size,Complete Checklist,# of species,Details
Gadwall (Mareca strepera),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Mallard (Anas platyrhynchos),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Anna's Hummingbird (Calypte anna),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
American Coot (Fulica americana),7,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Killdeer (Charadrius vociferus),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Spotted Sandpiper (Actitis macularius),3,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Ring-billed Gull (Larus delawarensis),1,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Western Grebe (Aechmophorus occidentalis),100,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Double-crested Cormorant (Nannopterum auritum),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Great Blue Heron (Ardea herodias),1,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
American White Pelican (Pelecanus erythrorhynchos),1,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Turkey Vulture (Cathartes aura),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Belted Kingfisher (Megaceryle alcyon),1,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Black Phoebe (Sayornis nigricans),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Say's Phoebe (Sayornis saya),4,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Cassin's Kingbird (Tyrannus vociferans),3,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
California Scrub-Jay (Aphelocoma californica),1,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
American Crow (Corvus brachyrhynchos),3,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Common Raven (Corvus corax),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Tree Swallow (Tachycineta bicolor),25,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Wrentit (Chamaea fasciata),1,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
House Finch (Haemorhous mexicanus),5,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Lesser Goldfinch (Spinus psaltria),3,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
White-crowned Sparrow (Zonotrichia leucophrys),3,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Song Sparrow (Melospiza melodia),5,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
California Towhee (Melozone crissalis),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Spotted Towhee (Pipilo maculatus),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Common Yellowthroat (Geothlypis trichas),2,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
Yellow-rumped Warbler (Setophaga coronata),12,Lake Hodges--Del Dios area (west end),Traveling,"Feb 10, 2025",10:19 AM,"2 hour(s), 45 minute(s)",1.5 mile(s),,,1,true,29 species,
